Experiment,Learning_Rate,Epochs,Mean_Precision,Mean_Recall,Mean_F1_Score,Mean_IoU,mAP
1,0.005,50,0.7778,0.4579,0.5501,0.6873,0.7778
2,0.005,30,0.5347,0.4769,0.4657,0.6661,0.5347
3,0.001,20,0.6122,0.5951,0.5789,0.67,0.6122
4,0.01,20,0.251,0.1231,0.1542,0.6901,0.251
5,0.005,20,0.5588,0.3147,0.3737,0.6514,0.5588
6,0.001,30,0.7463,0.5802,0.6242,0.704,0.7463
7,0.0001,20,0.15,0.0755,0.0988,0.6693,0.15
8,0.0001,50,0.5347,0.4769,0.4657,0.6661,0.5347
9,0.005,10,0.6667,0.3446,0.4306,0.6744,0.6667
10,0.005,30,0.8119,0.5376,0.6232,0.7096,0.8119
